FID,IID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
282set,CML158Q,0.0811683,-0.0234449,-0.0289056,0.0498552,0.0308046,-0.0115189,0.00253498,0.0277351,-0.00942985,-0.00245799,-0.0123805,-0.0252217,0.00620015,-0.01647,0.00954727,-0.0291315,0.026801,-0.00749305,0.0153903,-0.0344702
282set,CML218,0.0774,-0.0244156,-0.0131224,0.0533912,0.0301879,-0.0144473,-0.0190057,0.0174943,0.00766949,-0.00499604,-0.0395589,0.00208861,0.0373938,-0.0012809,0.013758,0.0100669,0.0507382,-0.0147545,0.0280495,-0.0523807
282set,CML220,0.0715365,-0.0253045,-0.00632967,0.0469073,0.0163569,-0.0145886,-0.00362035,0.00945489,0.00102208,-0.0181434,-0.0542087,0.00521258,0.0243415,-0.0033802,0.00865143,-0.00337323,0.0100464,-0.0080642,0.0063377,-0.042774
282set,CML228,0.0803131,-0.0301014,-0.00635729,0.0490215,0.0408318,-0.0350576,-0.0129026,0.0188215,0.0482873,-0.0522279,-0.194766,0.0121188,0.105405,0.0694778,-0.00393828,0.0567365,-0.0804019,0.0326339,-0.0793524,0.0943037
282set,CML238,0.0807024,-0.0247104,0.000240021,0.0494451,0.0300327,-0.0261344,-0.00248044,0.0202435,0.0213991,-0.00860014,-0.0377657,-0.0112513,0.0317495,-0.000963717,-0.00238939,-0.00826254,0.0021174,-0.03454,0.00764366,-0.0400182
282set,CML247,0.0931392,-0.0286885,-0.0160891,0.0586333,0.0191722,-0.0268236,-0.010912,0.0226426,0.0210287,0.0210077,0.0335734,-0.0411312,-0.0693463,-0.0198237,-0.0268083,-0.00508421,0.0237982,-0.0200202,-0.0433223,-0.00982094
282set,CML254,0.0829162,-0.029206,-0.0128498,0.0628269,0.0307968,-0.0319418,-0.0164428,0.0243425,-0.0134386,-0.00500374,0.0452384,-0.0327297,-0.0399299,0.0043206,0.0371119,-0.115684,-0.0229534,0.0120622,0.0157885,-0.0317269
282set,CML258,0.0874228,-0.0330747,-0.019944,0.0784115,0.0352477,-0.0412245,-0.0218564,0.026725,-0.0320801,0.0122883,0.0824017,-0.0726911,-0.0650697,0.00765824,-0.00475017,-0.106594,-0.046765,-0.0258176,0.00626248,0.0146433
282set,CML261,0.0803974,-0.0295682,-0.00685866,0.0660646,0.0335764,-0.0369497,-0.0158917,0.0156007,-0.0180782,-0.00953679,0.0262223,-0.0404676,-0.024719,0.017934,0.0236237,-0.078772,-0.0252272,-0.00563553,0.0140943,-0.0242722
282set,CML264,0.0826458,-0.033518,-0.0157531,0.074758,0.0344998,-0.0420684,-0.0178168,0.01689,-0.0294522,0.0175397,0.0459493,-0.0347736,-0.032686,0.0162379,0.00623043,-0.0563267,-0.00792315,-0.0200632,0.032756,-0.0672147
282set,CML277,0.0892992,-0.0284498,-0.0124965,0.0524934,0.0226473,-0.0288665,-0.0125824,0.0176147,-0.0232523,0.0185215,0.0563315,-0.0446006,-0.00109952,0.00945132,0.0140993,-0.0502549,-0.0100086,-0.0104371,0.0195353,-0.0804007
282set,CML281,0.0848947,-0.0313155,-0.0126196,0.0596951,0.037811,-0.0369019,-0.0174522,0.0210625,-0.000841994,0.00140442,0.0162474,-0.035618,-0.0185438,0.00954286,0.00643862,-0.0993696,-0.0174701,-0.0164762,-0.0200486,-0.0545543
282set,CML287,0.0825514,-0.0299375,-0.0132799,0.0590019,0.0233807,-0.0227178,-0.0120206,0.0219575,0.0120985,0.0172384,0.0219954,-0.0229917,-0.00269928,-0.0388286,-0.0139551,0.0235394,0.0268271,0.00332584,-0.00356483,-0.0114951
282set,CML311,0.0711867,-0.0115925,-0.0327258,0.0513664,0.0325058,-0.0153931,0.00262607,0.0206301,0.00875152,0.00118311,0.0169084,-0.0169179,0.00867376,0.00144173,0.00512245,-0.0433401,0.0449551,0.0105993,0.0205901,-0.0600149
282set,CML314,0.0858433,-0.0301565,-0.0155705,0.0650608,0.0248919,-0.0269137,-0.0210036,0.0243598,0.00266758,0.0241705,0.046687,-0.0393625,-0.0436153,-0.0126123,-0.0128832,-0.0166586,0.00965084,-0.0133065,-0.0101443,-0.0392862
282set,CML321,0.0787964,-0.021146,-0.00638245,0.0404798,0.0215751,-0.0146993,-0.0109209,0.0198968,-0.0137699,0.00989617,0.0287883,-0.0373353,-0.00777698,-0.00373252,0.0258313,-0.0274646,0.015129,-0.0187361,-0.00191325,-0.0174012
282set,CML322,0.0705934,-0.0392317,-0.0191197,0.0802643,0.00960112,-0.00567053,-0.027588,0.0418375,0.0416373,0.0403651,0.0508234,-0.0717943,-0.0855063,-0.134071,-0.104028,0.291177,0.0720391,0.107959,0.0376984,-0.0119816
282set,CML323,0.0502217,-0.0148654,-0.0140078,0.0440584,0.0276755,-0.00298185,-0.0253691,0.0103923,0.0299445,0.0102802,-0.0270596,0.0159155,0.0640552,-0.0573416,0.00367249,-0.00620804,0.0227616,-0.0299423,0.00534509,-0.0188982
282set,CML328,0.070903,-0.0158139,-0.0183739,0.0469132,0.0143995,-0.013763,-0.029027,0.00371185,0.0237876,-0.00786492,-0.0342856,-0.0183769,0.0402451,-0.00761737,0.00115982,0.0552958,0.0667435,0.0120929,0.0203345,-0.0401032
282set,CML331,0.0864682,-0.0364488,-0.0272443,0.0875666,0.0214545,-0.0270856,-0.0334858,0.0517183,0.0258408,0.0561971,0.0781331,-0.0995465,-0.138433,-0.140428,-0.106771,0.451373,0.0875863,0.183613,0.0659224,-0.0561291
282set,CML332,0.0955917,-0.0387501,-0.0281656,0.0871706,0.0237476,-0.0282848,-0.0334484,0.0547693,0.0309891,0.0553954,0.0773909,-0.104898,-0.148074,-0.15696,-0.106331,0.475972,0.0941986,0.193404,0.0594255,-0.0401643
282set,CML333,0.0614409,-0.0228887,-0.00460001,0.0507917,0.0255877,-0.0153184,-0.007975,0.00780686,0.0284453,-0.0203443,-0.0220139,-0.0161656,0.00357132,-0.000863698,0.00381382,0.000581441,0.0239937,-0.0215224,-0.00160119,-0.0349394
